medal_type,medal_code,medal_date,athlete_name,event,country,discipline
Gold Medal,1,00:00.0,UITTENBOGAARD Lucas Theodoor Dirk,Men's Quadruple Sculls,Netherlands,Rowing
Silver Medal,2,00:00.0,GROOM Angus,Men's Quadruple Sculls,Great Britain,Rowing
Silver Medal,2,00:00.0,LEASK Harry,Men's Quadruple Sculls,Great Britain,Rowing
Silver Medal,2,00:00.0,BARRAS Tom,Men's Quadruple Sculls,Great Britain,Rowing
Silver Medal,2,00:00.0,BEAUMONT Jack,Men's Quadruple Sculls,Great Britain,Rowing
Bronze Medal,3,00:00.0,GIRDLESTONE Cameron,Men's Quadruple Sculls,Australia,Rowing
Bronze Medal,3,00:00.0,ANTILL Caleb,Men's Quadruple Sculls,Australia,Rowing
Bronze Medal,3,00:00.0,CLEARY Jack,Men's Quadruple Sculls,Australia,Rowing
Bronze Medal,3,00:00.0,LETCHER Luke,Men's Quadruple Sculls,Australia,Rowing
Gold Medal,1,00:00.0,BODNAR Ancuta,Women's Double Sculls,Romania,Rowing
Gold Medal,1,00:00.0,RADIS Simona,Women's Double Sculls,Romania,Rowing
Silver Medal,2,00:00.0,OSBORNE Hannah,Women's Double Sculls,New Zealand,Rowing
Silver Medal,2,00:00.0,DONOGHUE Brooke,Women's Double Sculls,New Zealand,Rowing
Bronze Medal,3,00:00.0,de JONG Roos,Women's Double Sculls,Netherlands,Rowing
Bronze Medal,3,00:00.0,SCHEENAARD Lisa,Women's Double Sculls,Netherlands,Rowing
Gold Medal,1,00:00.0,STEPHAN Lucy,Women's Four,Australia,Rowing
Gold Medal,1,00:00.0,MORRISON Jessica,Women's Four,Australia,Rowing
Gold Medal,1,00:00.0,POPA Rosemary,Women's Four,Australia,Rowing
Gold Medal,1,00:00.0,McINTYRE Annabelle,Women's Four,Australia,Rowing
Silver Medal,2,00:00.0,HOGERWERF Ellen,Women's Four,Netherlands,Rowing
Silver Medal,2,00:00.0,CLEVERING Ymkje,Women's Four,Netherlands,Rowing
Silver Medal,2,00:00.0,FLORIJN Karolien,Women's Four,Netherlands,Rowing
Silver Medal,2,00:00.0,MEESTER Veronique,Women's Four,Netherlands,Rowing
Bronze Medal,3,00:00.0,HEGARTY Emily,Women's Four,Ireland,Rowing
Bronze Medal,3,00:00.0,LAMBE Eimear,Women's Four,Ireland,Rowing
Bronze Medal,3,00:00.0,KEOGH Aifric,Women's Four,Ireland,Rowing
Bronze Medal,3,00:00.0,MURTAGH Fiona,Women's Four,Ireland,Rowing
Gold Medal,1,00:00.0,ZHANG Ling,Women's Quadruple Sculls,People's Republic of China,Rowing
Gold Medal,1,00:00.0,CHEN Yunxia,Women's Quadruple Sculls,People's Republic of China,Rowing
Gold Medal,1,00:00.0,CUI Xiaotong,Women's Quadruple Sculls,People's Republic of China,Rowing
Gold Medal,1,00:00.0,LYU Yang,Women's Quadruple Sculls,People's Republic of China,Rowing
Silver Medal,2,00:00.0,ZILLMANN Katarzyna,Women's Quadruple Sculls,Poland,Rowing
Silver Medal,2,00:00.0,KOBUS-ZAWOJSKA Agnieszka,Women's Quadruple Sculls,Poland,Rowing
Silver Medal,2,00:00.0,SAJDAK Maria,Women's Quadruple Sculls,Poland,Rowing
Silver Medal,2,00:00.0,WIELICZKO Marta,Women's Quadruple Sculls,Poland,Rowing
Bronze Medal,3,00:00.0,MEREDITH Rowena,Women's Quadruple Sculls,Australia,Rowing
Bronze Medal,3,00:00.0,HUDSON Harriet,Women's Quadruple Sculls,Australia,Rowing
Bronze Medal,3,00:00.0,THOMPSON Ria,Women's Quadruple Sculls,Australia,Rowing
Bronze Medal,3,00:00.0,CRONIN Caitlin,Women's Quadruple Sculls,Australia,Rowing
Gold Medal,1,00:00.0,VAKURUNABILI Josua,Men,Fiji,Rugby Sevens
Gold Medal,1,00:00.0,DERENALAGI Meli,Men,Fiji,Rugby Sevens
Gold Medal,1,00:00.0,NACUQU Waisea,Men,Fiji,Rugby Sevens
Gold Medal,1,00:00.0,TUIMABA Aminiasi,Men,Fiji,Rugby Sevens
Gold Medal,1,00:00.0,TUWAI Jerry,Men,Fiji,Rugby Sevens
Gold Medal,1,00:00.0,BOTITU Vilimoni,Men,Fiji,Rugby Sevens
Gold Medal,1,00:00.0,NASOKO Kalione,Men,Fiji,Rugby Sevens
Gold Medal,1,00:00.0,BOLACA Napolioni,Men,Fiji,Rugby Sevens
Gold Medal,1,00:00.0,TUIVUAKA Asaeli,Men,Fiji,Rugby Sevens
Gold Medal,1,00:00.0,WAINIQOLO Jiuta,Men,Fiji,Rugby Sevens
Gold Medal,1,00:00.0,RADRADRA Semi,Men,Fiji,Rugby Sevens
Gold Medal,1,00:00.0,MAQALA Sireli,Men,Fiji,Rugby Sevens
Gold Medal,1,00:00.0,BALEIWAIRIKI Iosefo Masikau,Men,Fiji,Rugby Sevens
Silver Medal,2,00:00.0,WARBRICK William,Men,New Zealand,Rugby Sevens
Silver Medal,2,00:00.0,WARE Regan,Men,New Zealand,Rugby Sevens
Silver Medal,2,00:00.0,WEBBER Joe,Men,New Zealand,Rugby Sevens
Silver Medal,2,00:00.0,NG SHIU Tone,Men,New Zealand,Rugby Sevens
Silver Medal,2,00:00.0,NICOLE Amanaki,Men,New Zealand,Rugby Sevens
Silver Medal,2,00:00.0,BAKER Kurt,Men,New Zealand,Rugby Sevens
Silver Medal,2,00:00.0,COLLIER Dylan,Men,New Zealand,Rugby Sevens
Silver Medal,2,00:00.0,CURRY Scott,Men,New Zealand,Rugby Sevens
Silver Medal,2,00:00.0,KNEWSTUBB Andrew,Men,New Zealand,Rugby Sevens
Silver Medal,2,00:00.0,McGARVEY-BLACK Ngarohi,Men,New Zealand,Rugby Sevens
Silver Medal,2,00:00.0,MIKKELSON Tim,Men,New Zealand,Rugby Sevens
Silver Medal,2,00:00.0,MOLIA Sione,Men,New Zealand,Rugby Sevens
Silver Medal,2,00:00.0,NANAI-SETURO Etene,Men,New Zealand,Rugby Sevens
Bronze Medal,3,00:00.0,ALVAREZ Santiago,Men,Argentina,Rugby Sevens
Bronze Medal,3,00:00.0,BAZAN VELEZ Lautaro,Men,Argentina,Rugby Sevens
Bronze Medal,3,00:00.0,del MESTRE Felipe,Men,Argentina,Rugby Sevens
Bronze Medal,3,00:00.0,OSADCZUK Matias,Men,Argentina,Rugby Sevens
Bronze Medal,3,00:00.0,ETCHART Rodrigo,Men,Argentina,Rugby Sevens
Bronze Medal,3,00:00.0,REVOL Gaston,Men,Argentina,Rugby Sevens
Bronze Medal,3,00:00.0,GONZALEZ Luciano,Men,Argentina,Rugby Sevens
Bronze Medal,3,00:00.0,MARE Santiago,Men,Argentina,Rugby Sevens
Bronze Medal,3,00:00.0,MONETA Marcos,Men,Argentina,Rugby Sevens
Bronze Medal,3,00:00.0,CINTI Lucio,Men,Argentina,Rugby Sevens
Bronze Medal,3,00:00.0,MENDY Ignacio,Men,Argentina,Rugby Sevens
Bronze Medal,3,00:00.0,SCHULZ German,Men,Argentina,Rugby Sevens
Bronze Medal,3,00:00.0,ISGRO Rodrigo,Men,Argentina,Rugby Sevens
Gold Medal,1,00:00.0,MILAK Kristof,Men's 200m Butterfly,Hungary,Swimming
Silver Medal,2,00:00.0,HONDA Tomoru,Men's 200m Butterfly,Japan,Swimming
Bronze Medal,3,00:00.0,BURDISSO Federico,Men's 200m Butterfly,Italy,Swimming
Gold Medal,1,00:00.0,SCOTT Duncan,Men's 4 x 200m Freestyle Relay,Great Britain,Swimming
Gold Medal,1,00:00.0,DEAN Tom,Men's 4 x 200m Freestyle Relay,Great Britain,Swimming
Gold Medal,1,00:00.0,JARVIS Calum,Men's 4 x 200m Freestyle Relay,Great Britain,Swimming
Gold Medal,1,00:00.0,GUY James,Men's 4 x 200m Freestyle Relay,Great Britain,Swimming
Gold Medal,1,00:00.0,RICHARDS Matthew,Men's 4 x 200m Freestyle Relay,Great Britain,Swimming
Silver Medal,2,00:00.0,RYLOV Evgeny,Men's 4 x 200m Freestyle Relay,ROC,Swimming
Silver Medal,2,00:00.0,VEKOVISHCHEV Mikhail,Men's 4 x 200m Freestyle Relay,ROC,Swimming
Silver Medal,2,00:00.0,GIREV Ivan,Men's 4 x 200m Freestyle Relay,ROC,Swimming
Silver Medal,2,00:00.0,DOVGALYUK Mikhail,Men's 4 x 200m Freestyle Relay,ROC,Swimming
Silver Medal,2,00:00.0,KRASNYKH Aleksandr,Men's 4 x 200m Freestyle Relay,ROC,Swimming
Silver Medal,2,00:00.0,MALYUTIN Martin,Men's 4 x 200m Freestyle Relay,ROC,Swimming
Bronze Medal,3,00:00.0,WINNINGTON Elijah,Men's 4 x 200m Freestyle Relay,Australia,Swimming
Bronze Medal,3,00:00.0,INCERTI Zac,Men's 4 x 200m Freestyle Relay,Australia,Swimming
Bronze Medal,3,00:00.0,GRAHAM Alexander,Men's 4 x 200m Freestyle Relay,Australia,Swimming
Bronze Medal,3,00:00.0,HORTON Mack,Men's 4 x 200m Freestyle Relay,Australia,Swimming
Bronze Medal,3,00:00.0,CHALMERS Kyle,Men's 4 x 200m Freestyle Relay,Australia,Swimming
Bronze Medal,3,00:00.0,NEILL Thomas,Men's 4 x 200m Freestyle Relay,Australia,Swimming
Gold Medal,1,00:00.0,LEDECKY Kathleen,Women's 1500m Freestyle,United States of America,Swimming
Silver Medal,2,00:00.0,SULLIVAN Erica,Women's 1500m Freestyle,United States of America,Swimming
Bronze Medal,3,00:00.0,KOHLER Sarah,Women's 1500m Freestyle,Germany,Swimming
Gold Medal,1,00:00.0,TITMUS Ariarne,Women's 200m Freestyle,Australia,Swimming
Silver Medal,2,00:00.0,HAUGHEY Siobhan Bernadette,Women's 200m Freestyle,"Hong Kong, China",Swimming
Bronze Medal,3,00:00.0,OLEKSIAK Penny,Women's 200m Freestyle,Canada,Swimming
Gold Medal,1,00:00.0,OHASHI Yui,Women's 200m Individual Medley,Japan,Swimming
Silver Medal,2,00:00.0,WALSH Alex,Women's 200m Individual Medley,United States of America,Swimming
Bronze Medal,3,00:00.0,DOUGLASS Kate,Women's 200m Individual Medley,United States of America,Swimming
Gold Medal,1,00:00.0,SHI Zhiyong,Men's 73kg,People's Republic of China,Weightlifting
Silver Medal,2,00:00.0,MAYORA PERNIA Julio Ruben,Men's 73kg,Venezuela,Weightlifting
Bronze Medal,3,00:00.0,ABDULLAH Rahmat Erwin,Men's 73kg,Indonesia,Weightlifting
Gold Medal,1,00:00.0,LEE Sunisa,Women's All-Around,United States of America,Artistic Gymnastics
Silver Medal,2,00:00.0,ANDRADE Rebeca,Women's All-Around,Brazil,Artistic Gymnastics
Bronze Medal,3,00:00.0,MELNIKOVA Angelina,Women's All-Around,ROC,Artistic Gymnastics
Gold Medal,1,00:00.0,FOX Jessica,Women's Canoe,Australia,Canoe Slalom
Silver Medal,2,00:00.0,FRANKLIN Mallory,Women's Canoe,Great Britain,Canoe Slalom
Bronze Medal,3,00:00.0,HERZOG Andrea,Women's Canoe,Germany,Canoe Slalom
Gold Medal,1,00:00.0,DERIGLAZOVA Inna,Women's Foil Team,ROC,Fencing
Gold Medal,1,00:00.0,ZAGIDULLINA Adelina,Women's Foil Team,ROC,Fencing
Gold Medal,1,00:00.0,KOROBEYNIKOVA Larisa,Women's Foil Team,ROC,Fencing
Gold Medal,1,00:00.0,MARTYANOVA Marta,Women's Foil Team,ROC,Fencing
Silver Medal,2,00:00.0,BLAZE Anita,Women's Foil Team,France,Fencing
Silver Medal,2,00:00.0,GUYART Astrid,Women's Foil Team,France,Fencing
Silver Medal,2,00:00.0,RANVIER Pauline,Women's Foil Team,France,Fencing
Silver Medal,2,00:00.0,THIBUS Ysaora,Women's Foil Team,France,Fencing
Bronze Medal,3,00:00.0,VOLPI Alice,Women's Foil Team,Italy,Fencing
Bronze Medal,3,00:00.0,ERRIGO Arianna,Women's Foil Team,Italy,Fencing
Bronze Medal,3,00:00.0,BATINI Martina,Women's Foil Team,Italy,Fencing
Bronze Medal,3,00:00.0,CIPRESSA Erica,Women's Foil Team,Italy,Fencing
Gold Medal,1,00:00.0,WOLF Aaron,Men -100 kg,Japan,Judo
Silver Medal,2,00:00.0,CHO Guham,Men -100 kg,Republic of Korea,Judo
Bronze Medal,3,00:00.0,ILIASOV Niiaz,Men -100 kg,ROC,Judo
Bronze Medal,3,00:00.0,FONSECA Jorge,Men -100 kg,Portugal,Judo
Gold Medal,1,00:00.0,HAMADA Shori,Women -78 kg,Japan,Judo
Silver Medal,2,00:00.0,MALONGA Madeleine,Women -78 kg,France,Judo
Bronze Medal,3,00:00.0,AGUIAR Mayra,Women -78 kg,Brazil,Judo
Bronze Medal,3,00:00.0,WAGNER Anna-Maria,Women -78 kg,Germany,Judo
Gold Medal,1,00:00.0,Mc CARTHY Fintan,Lightweight Men's Double Sculls,Ireland,Rowing
Gold Medal,1,00:00.0,O'DONOVAN Paul,Lightweight Men's Double Sculls,Ireland,Rowing
Silver Medal,2,00:00.0,ROMMELMANN Jonathan,Lightweight Men's Double Sculls,Germany,Rowing
Silver Medal,2,00:00.0,OSBORNE Jason,Lightweight Men's Double Sculls,Germany,Rowing
Bronze Medal,3,00:00.0,OPPO Stefano,Lightweight Men's Double Sculls,Italy,Rowing
Bronze Medal,3,00:00.0,RUTA Pietro,Lightweight Men's Double Sculls,Italy,Rowing
Gold Medal,1,00:00.0,CESARINI Federica,Lightweight Women's Double Sculls,Italy,Rowing
Gold Medal,1,00:00.0,RODINI Valentina,Lightweight Women's Double Sculls,Italy,Rowing
Silver Medal,2,00:00.0,BOVE Claire,Lightweight Women's Double Sculls,France,Rowing
Silver Medal,2,00:00.0,TARANTOLA Laura,Lightweight Women's Double Sculls,France,Rowing
Bronze Medal,3,00:00.0,KEIJSER Marieke,Lightweight Women's Double Sculls,Netherlands,Rowing
Bronze Medal,3,00:00.0,PAULIS Ilse,Lightweight Women's Double Sculls,Netherlands,Rowing
Gold Medal,1,00:00.0,SINKOVIC Martin,Men's Pair,Croatia,Rowing
Gold Medal,1,00:00.0,SINKOVIC Valent,Men's Pair,Croatia,Rowing
Silver Medal,2,00:00.0,COZMIUC Marius,Men's Pair,Romania,Rowing
Silver Medal,2,00:00.0,TUDOSA Ciprian,Men's Pair,Romania,Rowing
Bronze Medal,3,00:00.0,VYSTAVEL Frederic,Men's Pair,Denmark,Rowing
Bronze Medal,3,00:00.0,SUTTON Joachim,Men's Pair,Denmark,Rowing
Gold Medal,1,00:00.0,PRENDERGAST Grace,Women's Pair,New Zealand,Rowing
Gold Medal,1,00:00.0,GOWLER Kerri,Women's Pair,New Zealand,Rowing
Silver Medal,2,00:00.0,ORIABINSKAIA Elena,Women's Pair,ROC,Rowing
Silver Medal,2,00:00.0,STEPANOVA Vasilisa,Women's Pair,ROC,Rowing
Bronze Medal,3,00:00.0,JANSSENS Hillary,Women's Pair,Canada,Rowing
Bronze Medal,3,00:00.0,FILMER Caileigh,Women's Pair,Canada,Rowing
Gold Medal,1,00:00.0,LIPTAK Jiri,Trap Men,Czech Republic,Shooting
Silver Medal,2,00:00.0,KOSTELECKY David,Trap Men,Czech Republic,Shooting
Bronze Medal,3,00:00.0,COWARD HOLLEY Matthew John,Trap Men,Great Britain,Shooting
Gold Medal,1,00:00.0,REHAK STEFECEKOVA Zuzana,Trap Women,Slovakia,Shooting
Silver Medal,2,00:00.0,BROWNING Kayle,Trap Women,United States of America,Shooting
Bronze Medal,3,00:00.0,PERILLI Alessandra,Trap Women,San Marino,Shooting
Gold Medal,1,00:00.0,DRESSEL Caeleb,Men's 100m Freestyle,United States of America,Swimming
Silver Medal,2,00:00.0,CHALMERS Kyle,Men's 100m Freestyle,Australia,Swimming
Bronze Medal,3,00:00.0,KOLESNIKOV Kliment,Men's 100m Freestyle,ROC,Swimming
Gold Medal,1,00:00.0,STUBBLETY-COOK Izaac,Men's 200m Breaststroke,Australia,Swimming
Silver Medal,2,00:00.0,KAMMINGA Arno,Men's 200m Breaststroke,Netherlands,Swimming
Bronze Medal,3,00:00.0,MATTSSON Matti,Men's 200m Breaststroke,Finland,Swimming
Gold Medal,1,00:00.0,FINKE Robert,Men's 800m Freestyle,United States of America,Swimming
Silver Medal,2,00:00.0,PALTRINIERI Gregorio,Men's 800m Freestyle,Italy,Swimming
Bronze Medal,3,00:00.0,ROMANCHUK Mykhailo,Men's 800m Freestyle,Ukraine,Swimming
Gold Medal,1,00:00.0,ZHANG Yufei,Women's 200m Butterfly,People's Republic of China,Swimming
Silver Medal,2,00:00.0,SMITH Regan,Women's 200m Butterfly,United States of America,Swimming
Bronze Medal,3,00:00.0,FLICKINGER Hali,Women's 200m Butterfly,United States of America,Swimming
Gold Medal,1,00:00.0,YANG Junxuan,Women's 4 x 200m Freestyle Relay,People's Republic of China,Swimming
Gold Medal,1,00:00.0,ZHANG Yufei,Women's 4 x 200m Freestyle Relay,People's Republic of China,Swimming
Gold Medal,1,00:00.0,DONG Jie,Women's 4 x 200m Freestyle Relay,People's Republic of China,Swimming
Gold Medal,1,00:00.0,ZHANG Yifan,Women's 4 x 200m Freestyle Relay,People's Republic of China,Swimming
Gold Medal,1,00:00.0,TANG Muhan,Women's 4 x 200m Freestyle Relay,People's Republic of China,Swimming
Gold Medal,1,00:00.0,LI Bingjie,Women's 4 x 200m Freestyle Relay,People's Republic of China,Swimming
Silver Medal,2,00:00.0,MADDEN Paige,Women's 4 x 200m Freestyle Relay,United States of America,Swimming
Silver Medal,2,00:00.0,Mc LAUGHLIN Kathryn,Women's 4 x 200m Freestyle Relay,United States of America,Swimming
Silver Medal,2,00:00.0,SIMS Arabella,Women's 4 x 200m Freestyle Relay,United States of America,Swimming
Silver Medal,2,00:00.0,LEDECKY Kathleen,Women's 4 x 200m Freestyle Relay,United States of America,Swimming
Silver Medal,2,00:00.0,FORDE Brooke,Women's 4 x 200m Freestyle Relay,United States of America,Swimming
Silver Medal,2,00:00.0,SCHMITT Allison,Women's 4 x 200m Freestyle Relay,United States of America,Swimming
Bronze Medal,3,00:00.0,THROSSELL Brianna,Women's 4 x 200m Freestyle Relay,Australia,Swimming
Bronze Medal,3,00:00.0,WILSON Madison,Women's 4 x 200m Freestyle Relay,Australia,Swimming
Bronze Medal,3,00:00.0,O'CALLAGHAN Mollie,Women's 4 x 200m Freestyle Relay,Australia,Swimming
Bronze Medal,3,00:00.0,COOK Tamsin,Women's 4 x 200m Freestyle Relay,Australia,Swimming
Bronze Medal,3,00:00.0,HARRIS Meg,Women's 4 x 200m Freestyle Relay,Australia,Swimming
Bronze Medal,3,00:00.0,TITMUS Ariarne,Women's 4 x 200m Freestyle Relay,Australia,Swimming
Bronze Medal,3,00:00.0,NEALE Leah,Women's 4 x 200m Freestyle Relay,Australia,Swimming
Bronze Medal,3,00:00.0,McKEON Emma,Women's 4 x 200m Freestyle Relay,Australia,Swimming
Gold Medal,1,00:00.0,CHEN Meng,Women's Singles,People's Republic of China,Table Tennis
Silver Medal,2,00:00.0,SUN Yingsha,Women's Singles,People's Republic of China,Table Tennis
Bronze Medal,3,00:00.0,ITO Mima,Women's Singles,Japan,Table Tennis
Gold Medal,1,00:00.0,AN San,Women's Individual,Republic of Korea,Archery
Silver Medal,2,00:00.0,OSIPOVA Elena,Women's Individual,ROC,Archery
Bronze Medal,3,00:00.0,BOARI Lucilla,Women's Individual,Italy,Archery
Gold Medal,1,00:00.0,BAREGA Selemon,"Men's 10,000m",Ethiopia,Athletics
Silver Medal,2,00:00.0,CHEPTEGEI Joshua,"Men's 10,000m",Uganda,Athletics
Bronze Medal,3,00:00.0,KIPLIMO Jacob,"Men's 10,000m",Uganda,Athletics
Gold Medal,1,00:00.0,WANG Yi Lyu,Mixed Doubles,People's Republic of China,Badminton
Gold Medal,1,00:00.0,HUANG Dong Ping,Mixed Doubles,People's Republic of China,Badminton
Silver Medal,2,00:00.0,ZHENG Si Wei,Mixed Doubles,People's Republic of China,Badminton
Silver Medal,2,00:00.0,HUANG Ya Qiong,Mixed Doubles,People's Republic of China,Badminton
Bronze Medal,3,00:00.0,WATANABE Yuta,Mixed Doubles,Japan,Badminton
Bronze Medal,3,00:00.0,HIGASHINO Arisa,Mixed Doubles,Japan,Badminton
Gold Medal,1,00:00.0,PRSKAVEC Jiri,Men's Kayak,Czech Republic,Canoe Slalom
Silver Medal,2,00:00.0,GRIGAR Jakub,Men's Kayak,Slovakia,Canoe Slalom
Bronze Medal,3,00:00.0,AIGNER Hannes,Men's Kayak,Germany,Canoe Slalom
Gold Medal,1,00:00.0,KIMMANN Niek,Men,Netherlands,Cycling BMX Racing
Silver Medal,2,00:00.0,WHYTE Kye,Men,Great Britain,Cycling BMX Racing
Bronze Medal,3,00:00.0,RAMIREZ YEPES Carlos Alberto,Men,Colombia,Cycling BMX Racing
Gold Medal,1,00:00.0,SHRIEVER Bethany,Women,Great Britain,Cycling BMX Racing
Silver Medal,2,00:00.0,PAJON Mariana,Women,Colombia,Cycling BMX Racing
Bronze Medal,3,00:00.0,SMULDERS Merel,Women,Netherlands,Cycling BMX Racing
Gold Medal,1,00:00.0,MINOBE Kazuyasu,Men's &Eacute;p&eacute;e Team,Japan,Fencing
Gold Medal,1,00:00.0,KANO Koki,Men's &Eacute;p&eacute;e Team,Japan,Fencing
Gold Medal,1,00:00.0,YAMADA Masaru,Men's &Eacute;p&eacute;e Team,Japan,Fencing
Gold Medal,1,00:00.0,UYAMA Satoru,Men's &Eacute;p&eacute;e Team,Japan,Fencing
Silver Medal,2,00:00.0,BIDA Sergey,Men's &Eacute;p&eacute;e Team,ROC,Fencing
Silver Medal,2,00:00.0,KHODOS Sergey,Men's &Eacute;p&eacute;e Team,ROC,Fencing
Silver Medal,2,00:00.0,SUKHOV Pavel,Men's &Eacute;p&eacute;e Team,ROC,Fencing
Silver Medal,2,00:00.0,GLAZKOV Nikita,Men's &Eacute;p&eacute;e Team,ROC,Fencing
Bronze Medal,3,00:00.0,KWEON Youngjun,Men's &Eacute;p&eacute;e Team,Republic of Korea,Fencing
Bronze Medal,3,00:00.0,PARK Sangyoung,Men's &Eacute;p&eacute;e Team,Republic of Korea,Fencing
Bronze Medal,3,00:00.0,MA Segeon,Men's &Eacute;p&eacute;e Team,Republic of Korea,Fencing
Bronze Medal,3,00:00.0,SONG Jaeho,Men's &Eacute;p&eacute;e Team,Republic of Korea,Fencing
Gold Medal,1,00:00.0,KRPALEK Lukas,Men +100 kg,Czech Republic,Judo
Silver Medal,2,00:00.0,TUSHISHVILI Guram,Men +100 kg,Georgia,Judo
Bronze Medal,3,00:00.0,RINER Teddy,Men +100 kg,France,Judo
Bronze Medal,3,00:00.0,BASHAEV Tamerlan,Men +100 kg,ROC,Judo
Gold Medal,1,00:00.0,SONE Akira,Women +78 kg,Japan,Judo
Silver Medal,2,00:00.0,ORTIZ Idalys,Women +78 kg,Cuba,Judo
Bronze Medal,3,00:00.0,DICKO Romane,Women +78 kg,France,Judo
Bronze Medal,3,00:00.0,KINDZERSKA Iryna,Women +78 kg,Azerbaijan,Judo
Gold Medal,1,00:00.0,BOND Hamish,Men's Eight,New Zealand,Rowing
Gold Medal,1,00:00.0,BOSWORTH Sam,Men's Eight,New Zealand,Rowing
Gold Medal,1,00:00.0,BRAKE Michael,Men's Eight,New Zealand,Rowing
Gold Medal,1,00:00.0,KIRKHAM Shaun,Men's Eight,New Zealand,Rowing
Gold Medal,1,00:00.0,MACDONALD Matt,Men's Eight,New Zealand,Rowing
Gold Medal,1,00:00.0,MACKINTOSH Thomas,Men's Eight,New Zealand,Rowing
Gold Medal,1,00:00.0,MURRAY Tom,Men's Eight,New Zealand,Rowing
Gold Medal,1,00:00.0,WILLIAMSON Daniel,Men's Eight,New Zealand,Rowing
Gold Medal,1,00:00.0,WILSON Phillip,Men's Eight,New Zealand,Rowing
Silver Medal,2,00:00.0,FOLLERT Laurits,Men's Eight,Germany,Rowing
Silver Medal,2,00:00.0,JAKSCHIK Malte,Men's Eight,Germany,Rowing
Silver Medal,2,00:00.0,JOHANNESEN Torben,Men's Eight,Germany,Rowing
Silver Medal,2,00:00.0,OCIK Hannes,Men's Eight,Germany,Rowing
Silver Medal,2,00:00.0,SAUER Martin,Men's Eight,Germany,Rowing
Silver Medal,2,00:00.0,SCHMIDT Richard,Men's Eight,Germany,Rowing
Silver Medal,2,00:00.0,SCHNEIDER Jakob,Men's Eight,Germany,Rowing
Silver Medal,2,00:00.0,WEISSENFELD Johannes,Men's Eight,Germany,Rowing
Silver Medal,2,00:00.0,ROGGENSACK Olaf,Men's Eight,Germany,Rowing
Bronze Medal,3,00:00.0,BUGAJSKI Josh,Men's Eight,Great Britain,Rowing
Bronze Medal,3,00:00.0,DAWSON Jacob,Men's Eight,Great Britain,Rowing
Bronze Medal,3,00:00.0,ELWES Charles,Men's Eight,Great Britain,Rowing
Bronze Medal,3,00:00.0,FIELDMAN Henry,Men's Eight,Great Britain,Rowing
Bronze Medal,3,00:00.0,FORD Tom,Men's Eight,Great Britain,Rowing
Bronze Medal,3,00:00.0,GEORGE Tom,Men's Eight,Great Britain,Rowing
Bronze Medal,3,00:00.0,RUDKIN James,Men's Eight,Great Britain,Rowing
Bronze Medal,3,00:00.0,SBIHI Mohamed,Men's Eight,Great Britain,Rowing
Bronze Medal,3,00:00.0,WYNNE-GRIFFITH Oliver,Men's Eight,Great Britain,Rowing
Gold Medal,1,00:00.0,NTOUSKOS Stefanos,Men's Single Sculls,Greece,Rowing
Silver Medal,2,00:00.0,BORCH Kjetil,Men's Single Sculls,Norway,Rowing
Bronze Medal,3,00:00.0,MARTIN Damir,Men's Single Sculls,Croatia,Rowing
Gold Medal,1,00:00.0,GRAINGER Susanne,Women's Eight,Canada,Rowing
Gold Medal,1,00:00.0,GRUCHALLA-WESIERSKI Kasia,Women's Eight,Canada,Rowing
Gold Medal,1,00:00.0,KIT Kristen,Women's Eight,Canada,Rowing
Gold Medal,1,00:00.0,MAILEY Madison,Women's Eight,Canada,Rowing
Gold Medal,1,00:00.0,PAYNE Sydney,Women's Eight,Canada,Rowing
Gold Medal,1,00:00.0,PROSKE Andrea,Women's Eight,Canada,Rowing
Gold Medal,1,00:00.0,ROMAN Lisa,Women's Eight,Canada,Rowing
Gold Medal,1,00:00.0,ROPER Christine,Women's Eight,Canada,Rowing
Gold Medal,1,00:00.0,WASTENEYS Avalon,Women's Eight,Canada,Rowing
Silver Medal,2,00:00.0,DYKE Emma,Women's Eight,New Zealand,Rowing
Silver Medal,2,00:00.0,GOWLER Jackie,Women's Eight,New Zealand,Rowing
Silver Medal,2,00:00.0,GOWLER Kerri,Women's Eight,New Zealand,Rowing
Silver Medal,2,00:00.0,BEVAN Kelsey,Women's Eight,New Zealand,Rowing
Silver Medal,2,00:00.0,PRENDERGAST Grace,Women's Eight,New Zealand,Rowing
Silver Medal,2,00:00.0,ROSS Beth,Women's Eight,New Zealand,Rowing
Silver Medal,2,00:00.0,SHEPHERD Caleb,Women's Eight,New Zealand,Rowing
Silver Medal,2,00:00.0,SPOORS Lucy,Women's Eight,New Zealand,Rowing
Silver Medal,2,00:00.0,GREENSLADE Ella,Women's Eight,New Zealand,Rowing
Bronze Medal,3,00:00.0,ZHANG Min,Women's Eight,People's Republic of China,Rowing
Bronze Medal,3,00:00.0,GUO Linlin,Women's Eight,People's Republic of China,Rowing
Bronze Medal,3,00:00.0,JU Rui,Women's Eight,People's Republic of China,Rowing
Bronze Medal,3,00:00.0,LI Jingjing,Women's Eight,People's Republic of China,Rowing
Bronze Medal,3,00:00.0,MIAO Tian,Women's Eight,People's Republic of China,Rowing
Bronze Medal,3,00:00.0,WANG Yuwei,Women's Eight,People's Republic of China,Rowing
Bronze Medal,3,00:00.0,WANG Zifeng,Women's Eight,People's Republic of China,Rowing
Bronze Medal,3,00:00.0,XU Fei,Women's Eight,People's Republic of China,Rowing
